DateTime,GpsPos,EventNumber,Data
2019-08-07 04:51:33,N2506.55W08848.31,331,14916
2019-08-07 04:51:33,N2506.55W08848.31,640,671
2019-08-07 04:51:33,N2506.55W08848.31,650,652
2019-08-07 04:51:33,N2506.55W08848.31,760,88
2019-08-07 04:51:33,N2506.55W08848.31,770,90
2019-08-07 04:52:33,N2506.61W08848.50,331,14929
2019-08-07 04:52:33,N2506.61W08848.50,640,670
2019-08-07 04:52:33,N2506.61W08848.50,650,652
2019-08-07 04:52:33,N2506.61W08848.50,760,88
2019-08-07 04:52:33,N2506.61W08848.50,770,90
2019-08-07 04:53:33,N2506.66W08848.69,331,14942
2019-08-07 04:53:33,N2506.66W08848.69,640,670
2019-08-07 04:53:33,N2506.66W08848.69,650,652
2019-08-07 04:53:33,N2506.66W08848.69,760,88
2019-08-07 04:53:33,N2506.66W08848.69,770,90
2019-08-07 04:54:02,-,240,0
2019-08-07 04:54:33,N2506.71W08848.88,805,0
2019-08-07 04:54:33,N2506.71W08848.88,331,14955
2019-08-07 04:54:33,N2506.71W08848.88,640,670
2019-08-07 04:54:33,N2506.71W08848.88,650,651
2019-08-07 04:54:33,N2506.71W08848.88,760,88
2019-08-07 04:54:33,N2506.71W08848.88,770,90
2019-08-07 04:55:33,N2506.76W08849.07,331,14968
2019-08-07 04:55:33,N2506.76W08849.07,640,670
2019-08-07 04:55:33,N2506.76W08849.07,650,650
2019-08-07 04:55:33,N2506.76W08849.07,760,88
2019-08-07 04:55:33,N2506.76W08849.07,770,90
2019-08-07 04:55:51,-,250,0
2019-08-07 04:56:33,N2506.81W08849.26,640,676
2019-08-07 04:56:33,N2506.81W08849.26,650,656
2019-08-07 04:56:33,N2506.81W08849.26,760,88
2019-08-07 04:56:33,N2506.81W08849.26,770,90
2019-08-07 04:56:35,N2506.81W08849.26,165,0
2019-08-07 04:56:35,-,400,0
2019-08-07 04:56:50,N2506.83W08849.31,160,0
2019-08-07 04:56:50,-,380,0
2019-08-07 04:56:59,-,190,0
2019-08-07 04:56:59,N2506.83W08849.33,330,14980
2019-08-07 04:57:04,-,370,0
2019-08-07 04:57:06,N2506.84W08849.36,150,0
2019-08-07 05:01:52,-,300,1
2019-08-07 05:54:31,N2509.71W08900.24,811,0
2019-08-07 05:54:31,-,300,2
2019-08-07 06:46:50,N2512.35W08910.16,813,0
2019-08-07 06:51:50,N2512.61W08911.11,160,0
2019-08-07 06:51:50,-,380,0
2019-08-07 06:52:20,-,190,0
2019-08-08 13:05:21,-,100,0
2019-08-08 13:14:43,-,190,0
2019-08-10 13:53:34,-,100,0
2019-08-10 13:54:19,-,190,0
2019-08-12 21:08:40,-,100,0
2019-08-12 21:09:15,-,190,0
2019-08-13 21:19:47,-,100,0
2019-08-13 21:22:15,-,190,0
2019-08-13 21:24:09,-,210,0
2019-08-13 21:24:09,-,370,0
2019-08-13 21:24:17,N2943.70W09513.45,150,0
2019-08-13 21:25:57,-,430,1
2019-08-13 21:26:02,-,390,0
2019-08-13 21:26:03,N2943.70W09513.45,650,338
2019-08-13 21:26:03,N2943.70W09513.45,770,100
2019-08-13 21:26:07,-,250,0
2019-08-13 21:26:15,-,400,0
2019-08-13 21:26:21,N2943.70W09513.45,450,0
2019-08-13 21:27:30,N2943.70W09513.45,160,0
2019-08-13 21:27:30,-,380,0
2019-08-13 21:27:32,-,190,0
2019-08-13 21:34:57,-,70,1000
2019-08-13 23:28:45,-,210,0
2019-08-13 23:28:46,-,370,0
2019-08-13 23:28:47,N2943.70W09513.45,150,0
2019-08-13 23:29:16,N2943.70W09513.45,450,0
2019-08-13 23:29:16,-,250,0
2019-08-13 23:29:27,N2943.70W09513.45,160,0
2019-08-13 23:29:27,-,380,0
2019-08-13 23:29:32,-,190,0
2019-08-13 23:53:32,-,210,0
2019-08-13 23:53:32,-,370,0
2019-08-13 23:53:35,N2943.70W09513.45,150,0
2019-08-13 23:55:16,-,430,1
2019-08-13 23:55:21,-,390,0
2019-08-13 23:55:40,N2943.70W09513.45,155,0
2019-08-13 23:56:05,N2943.70W09513.45,450,0
2019-08-13 23:56:05,-,250,0
2019-08-13 23:56:09,N2943.70W09513.45,650,248
2019-08-13 23:56:09,N2943.70W09513.45,770,100
2019-08-13 23:56:13,N2943.70W09513.45,165,0
2019-08-13 23:56:13,-,400,0
2019-08-13 23:56:27,N2943.70W09513.45,160,0
2019-08-13 23:56:27,-,380,0
2019-08-13 23:56:36,-,190,0
2019-08-14 00:01:58,-,210,0
2019-08-14 00:01:58,-,370,0
2019-08-14 00:02:00,N2943.70W09513.45,150,0
2019-08-14 00:03:41,-,430,1
2019-08-14 00:03:44,-,430,2
2019-08-14 00:03:49,-,390,0
2019-08-14 00:03:57,N2943.70W09513.45,155,0
2019-08-14 00:04:09,N2943.70W09513.45,650,254
2019-08-14 00:04:09,N2943.70W09513.45,770,100
2019-08-14 00:04:22,N2943.70W09513.45,450,0
2019-08-14 00:04:22,-,250,0
2019-08-14 00:04:30,N2943.70W09513.45,165,0
2019-08-14 00:04:30,-,400,0
2019-08-14 00:04:45,N2943.70W09513.45,160,0
2019-08-14 00:04:45,-,380,0
2019-08-14 00:04:47,-,190,0
2019-08-14 00:06:01,-,100,0
2019-08-14 00:06:30,N2943.70W09513.45,450,0
2019-08-14 00:07:20,-,190,0
2019-08-14 00:13:51,-,210,0
2019-08-14 00:13:51,-,370,0
2019-08-14 00:13:53,N2943.70W09513.45,150,0
2019-08-14 00:15:34,-,430,1
2019-08-14 00:15:36,-,430,2
2019-08-14 00:15:41,-,390,0
2019-08-14 00:16:09,N2943.70W09513.45,640,193
2019-08-14 00:16:09,N2943.70W09513.45,650,167
2019-08-14 00:16:09,N2943.70W09513.45,760,50
2019-08-14 00:16:09,N2943.70W09513.45,770,50
2019-08-14 00:16:10,N2943.70W09513.45,155,0
2019-08-14 00:16:35,N2943.70W09513.45,450,0
2019-08-14 00:16:35,-,250,0
2019-08-14 00:16:43,N2943.70W09513.45,165,0
2019-08-14 00:16:43,-,400,0
2019-08-14 00:16:57,N2943.70W09513.45,160,0
2019-08-14 00:16:57,-,380,0
2019-08-14 00:17:02,-,190,0
2019-08-14 00:22:02,-,260,0
2019-08-14 00:22:02,-,370,0
2019-08-14 00:22:08,N2943.70W09513.45,150,0
2019-08-14 00:23:47,-,430,1
2019-08-14 00:23:49,-,430,2
2019-08-14 00:23:54,-,390,0
2019-08-14 00:24:04,N2943.70W09513.45,155,0
2019-08-14 00:24:10,N2943.70W09513.45,640,272
2019-08-14 00:24:10,N2943.70W09513.45,650,249
2019-08-14 00:24:10,N2943.70W09513.45,760,100
2019-08-14 00:24:10,N2943.70W09513.45,770,100
2019-08-14 00:24:17,N2943.70W09513.45,270,0
2019-08-14 00:24:17,N2943.70W09513.45,806,0
2019-08-14 00:25:10,N2943.70W09513.45,341,10
2019-08-14 00:25:10,N2943.70W09513.45,640,702
2019-08-14 00:25:10,N2943.70W09513.45,650,639
2019-08-14 00:25:10,N2943.70W09513.45,760,100
2019-08-14 00:25:10,N2943.70W09513.45,770,100
2019-08-14 00:26:10,N2943.70W09513.45,341,25
2019-08-14 00:26:10,N2943.70W09513.45,640,741
2019-08-14 00:26:10,N2943.70W09513.45,650,683
2019-08-14 00:26:10,N2943.70W09513.45,760,100
2019-08-14 00:26:10,N2943.70W09513.45,770,100
2019-08-14 00:26:46,-,290,0
2019-08-14 00:27:00,N2943.70W09513.45,165,0
2019-08-14 00:27:00,-,400,0
2019-08-14 00:27:10,N2943.70W09513.45,640,750
2019-08-14 00:27:10,N2943.70W09513.45,650,693
2019-08-14 00:27:10,N2943.70W09513.45,760,100
2019-08-14 00:27:10,N2943.70W09513.45,770,100
2019-08-14 00:27:14,N2943.70W09513.45,160,0
2019-08-14 00:27:14,-,380,0
2019-08-14 00:27:17,-,190,0
2019-08-14 00:27:17,N2943.70W09513.45,340,41
2019-08-14 00:32:48,-,260,0
2019-08-14 00:32:48,-,370,0
2019-08-14 00:32:56,N2943.70W09513.45,150,0
2019-08-14 00:34:36,-,430,1
2019-08-14 00:34:39,-,430,2
2019-08-14 00:34:44,-,390,0
2019-08-14 00:34:54,N2943.70W09513.45,155,0
2019-08-14 00:35:07,N2943.70W09513.45,270,0
2019-08-14 00:35:07,N2943.70W09513.45,805,0
2019-08-14 00:35:10,N2943.70W09513.45,341,0
2019-08-14 00:35:10,N2943.70W09513.45,640,468
2019-08-14 00:35:10,N2943.70W09513.45,650,329
2019-08-14 00:35:10,N2943.70W09513.45,760,100
2019-08-14 00:35:10,N2943.70W09513.45,770,100
2019-08-14 00:36:10,N2943.70W09513.45,341,14
2019-08-14 00:36:10,N2943.70W09513.45,640,729
2019-08-14 00:36:10,N2943.70W09513.45,650,672
2019-08-14 00:36:10,N2943.70W09513.45,760,100
2019-08-14 00:36:10,N2943.70W09513.45,770,100
2019-08-14 00:37:10,N2943.70W09513.45,341,31
2019-08-14 00:37:10,N2943.70W09513.45,640,739
2019-08-14 00:37:10,N2943.70W09513.45,650,680
2019-08-14 00:37:10,N2943.70W09513.45,760,100
2019-08-14 00:37:10,N2943.70W09513.45,770,100
2019-08-14 00:38:10,N2943.70W09513.45,341,49
2019-08-14 00:38:10,N2943.70W09513.45,640,736
2019-08-14 00:38:10,N2943.70W09513.45,650,682
2019-08-14 00:38:10,N2943.70W09513.45,760,99
2019-08-14 00:38:10,N2943.70W09513.45,770,100
2019-08-14 00:39:10,N2943.70W09513.45,341,68
2019-08-14 00:39:10,N2943.70W09513.45,640,725
2019-08-14 00:39:10,N2943.70W09513.45,650,676
2019-08-14 00:39:10,N2943.70W09513.45,760,98
2019-08-14 00:39:10,N2943.70W09513.45,770,99
2019-08-14 00:40:10,N2943.70W09513.45,341,88
