DateTime,GpsPos,EventNumber,Data,Team
2019-08-23 13:50:24,N1813.47W09427.90,650,2021,Team Tosca
2019-08-23 13:50:24,N1813.47W09427.90,760,91,Team Tosca
2019-08-23 13:50:24,N1813.47W09427.90,770,92,Team Tosca
2019-08-23 13:51:24,N1813.47W09427.90,331,63,Team Tosca
2019-08-23 13:51:24,N1813.47W09427.90,640,1996,Team Tosca
2019-08-23 13:51:24,N1813.47W09427.90,650,1927,Team Tosca
2019-08-23 13:51:24,N1813.47W09427.90,760,87,Team Tosca
2019-08-23 13:51:24,N1813.47W09427.90,770,89,Team Tosca
2019-08-23 13:52:24,N1813.47W09427.90,331,76,Team Tosca
2019-08-23 13:52:24,N1813.47W09427.90,640,1915,Team Tosca
2019-08-23 13:52:24,N1813.47W09427.90,650,1869,Team Tosca
2019-08-23 13:52:24,N1813.47W09427.90,760,84,Team Tosca
2019-08-23 13:52:24,N1813.47W09427.90,770,87,Team Tosca
2019-08-23 13:53:25,N1813.47W09427.90,331,90,Team Tosca
2019-08-23 13:53:25,N1813.47W09427.90,640,1864,Team Tosca
2019-08-23 13:53:25,N1813.47W09427.90,650,1821,Team Tosca
2019-08-23 13:53:25,N1813.47W09427.90,760,81,Team Tosca
2019-08-23 13:53:25,N1813.47W09427.90,770,85,Team Tosca
2019-08-23 13:54:25,N1813.47W09427.90,331,103,Team Tosca
2019-08-23 13:54:25,N1813.47W09427.90,640,1810,Team Tosca
2019-08-23 13:54:25,N1813.47W09427.90,650,1785,Team Tosca
2019-08-23 13:54:25,N1813.47W09427.90,760,80,Team Tosca
2019-08-23 13:54:25,N1813.47W09427.90,770,83,Team Tosca
2019-08-23 13:55:25,N1813.47W09427.90,331,114,Team Tosca
2019-08-23 13:55:25,N1813.47W09427.90,640,1764,Team Tosca
2019-08-23 13:55:25,N1813.47W09427.90,650,1753,Team Tosca
2019-08-23 13:55:25,N1813.47W09427.90,760,78,Team Tosca
2019-08-23 13:55:25,N1813.47W09427.90,770,82,Team Tosca
2019-08-23 13:56:25,N1813.47W09427.90,331,127,Team Tosca
2019-08-23 13:56:25,N1813.47W09427.90,640,1718,Team Tosca
2019-08-23 13:56:25,N1813.47W09427.90,650,1714,Team Tosca
2019-08-23 13:56:25,N1813.47W09427.90,760,77,Team Tosca
2019-08-23 13:56:25,N1813.47W09427.90,770,81,Team Tosca
2019-08-23 13:57:25,N1813.47W09427.90,331,140,Team Tosca
2019-08-23 13:57:25,N1813.47W09427.90,640,1700,Team Tosca
2019-08-23 13:57:25,N1813.47W09427.90,650,1691,Team Tosca
2019-08-23 13:57:25,N1813.47W09427.90,760,76,Team Tosca
2019-08-23 13:57:25,N1813.47W09427.90,770,80,Team Tosca
2019-08-23 13:58:25,N1813.47W09427.90,331,153,Team Tosca
2019-08-23 13:58:25,N1813.47W09427.90,640,1672,Team Tosca
2019-08-23 13:58:25,N1813.47W09427.90,650,1680,Team Tosca
2019-08-23 13:58:25,N1813.47W09427.90,760,75,Team Tosca
2019-08-23 13:58:25,N1813.47W09427.90,770,79,Team Tosca
2019-08-23 13:59:25,N1813.48W09427.90,331,166,Team Tosca
2019-08-23 13:59:25,N1813.48W09427.90,640,1672,Team Tosca
2019-08-23 13:59:25,N1813.48W09427.90,650,1665,Team Tosca
2019-08-23 13:59:25,N1813.48W09427.90,760,75,Team Tosca
2019-08-23 13:59:25,N1813.48W09427.90,770,79,Team Tosca
2019-08-23 14:00:25,N1813.48W09427.90,331,179,Team Tosca
2019-08-23 14:00:25,N1813.48W09427.90,640,1648,Team Tosca
2019-08-23 14:00:25,N1813.48W09427.90,650,1656,Team Tosca
2019-08-23 14:00:25,N1813.48W09427.90,760,74,Team Tosca
2019-08-23 14:00:25,N1813.48W09427.90,770,78,Team Tosca
2019-08-23 14:01:25,N1813.48W09427.90,331,191,Team Tosca
2019-08-23 14:01:25,N1813.48W09427.90,640,1634,Team Tosca
2019-08-23 14:01:25,N1813.48W09427.90,650,1643,Team Tosca
2019-08-23 14:01:25,N1813.48W09427.90,760,74,Team Tosca
2019-08-23 14:01:25,N1813.48W09427.90,770,78,Team Tosca
2019-08-23 14:02:25,N1813.48W09427.90,331,204,Team Tosca
2019-08-23 14:02:25,N1813.48W09427.90,640,1628,Team Tosca
2019-08-23 14:02:25,N1813.48W09427.90,650,1642,Team Tosca
2019-08-23 14:02:25,N1813.48W09427.90,760,74,Team Tosca
2019-08-23 14:02:25,N1813.48W09427.90,770,78,Team Tosca
2019-08-23 14:03:25,N1813.48W09427.90,331,217,Team Tosca
2019-08-23 14:03:25,N1813.48W09427.90,640,1639,Team Tosca
2019-08-23 14:03:25,N1813.48W09427.90,650,1626,Team Tosca
2019-08-23 14:03:25,N1813.48W09427.90,760,74,Team Tosca
2019-08-23 14:03:25,N1813.48W09427.90,770,77,Team Tosca
2019-08-23 14:04:25,N1813.48W09427.90,331,229,Team Tosca
2019-08-23 14:04:25,N1813.48W09427.90,640,1625,Team Tosca
2019-08-23 14:04:25,N1813.48W09427.90,650,1628,Team Tosca
2019-08-23 14:04:25,N1813.48W09427.90,760,73,Team Tosca
2019-08-23 14:04:25,N1813.48W09427.90,770,77,Team Tosca
2019-08-23 14:05:22,-,250,0,Team Tosca
2019-08-23 14:05:25,N1813.48W09427.90,640,1632,Team Tosca
2019-08-23 14:05:25,N1813.48W09427.90,650,1632,Team Tosca
2019-08-23 14:05:25,N1813.48W09427.90,760,73,Team Tosca
2019-08-23 14:05:25,N1813.48W09427.90,770,77,Team Tosca
2019-08-23 14:06:07,N1813.48W09427.90,165,0,Team Tosca
2019-08-23 14:06:07,-,400,0,Team Tosca
2019-08-23 14:06:24,N1813.48W09427.90,160,0,Team Tosca
2019-08-23 14:06:24,-,380,0,Team Tosca
2019-08-23 14:07:02,-,190,0,Team Tosca
2019-08-23 14:07:02,N1813.48W09427.90,330,245,Team Tosca
2019-08-23 14:07:23,-,370,0,Team Tosca
2019-08-23 14:07:29,N1813.48W09427.90,150,0,Team Tosca
2019-08-23 14:09:34,N1813.48W09427.90,160,0,Team Tosca
2019-08-23 14:09:34,-,380,0,Team Tosca
2019-08-23 14:09:42,-,190,0,Team Tosca
2019-08-23 14:12:51,-,210,0,Team Tosca
2019-08-23 14:12:51,-,370,0,Team Tosca
2019-08-23 14:12:54,N1813.48W09427.89,150,0,Team Tosca
2019-08-23 14:14:36,-,430,1,Team Tosca
2019-08-23 14:14:36,-,430,2,Team Tosca
2019-08-23 14:14:41,-,390,0,Team Tosca
2019-08-23 14:14:54,N1813.48W09427.89,155,0,Team Tosca
2019-08-23 14:15:25,N1813.48W09427.89,640,2396,Team Tosca
2019-08-23 14:15:25,N1813.48W09427.89,650,2239,Team Tosca
2019-08-23 14:15:25,N1813.48W09427.89,760,100,Team Tosca
