Team Tosca;;;;
PB-02439;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-08-06 18:54:10;N2437.65W08659.38;770;100;
2019-08-06 18:55:10;N2437.70W08659.54;331;853;
2019-08-06 18:55:10;N2437.70W08659.54;640;611;
2019-08-06 18:55:10;N2437.70W08659.54;650;591;
2019-08-06 18:55:10;N2437.70W08659.54;760;98;
2019-08-06 18:55:10;N2437.70W08659.54;770;100;
2019-08-06 18:56:10;N2437.76W08659.71;331;882;
2019-08-06 18:56:10;N2437.76W08659.71;640;610;
2019-08-06 18:56:10;N2437.76W08659.71;650;591;
2019-08-06 18:56:10;N2437.76W08659.71;760;98;
2019-08-06 18:56:10;N2437.76W08659.71;770;100;
2019-08-06 18:57:10;N2437.81W08659.87;331;911;
2019-08-06 18:57:10;N2437.81W08659.87;640;610;
2019-08-06 18:57:10;N2437.81W08659.87;650;590;
2019-08-06 18:57:10;N2437.81W08659.87;760;98;
2019-08-06 18:57:10;N2437.81W08659.87;770;100;
2019-08-06 18:58:10;N2437.87W08700.03;331;940;
2019-08-06 18:58:10;N2437.87W08700.03;640;611;
2019-08-06 18:58:10;N2437.87W08700.03;650;590;
2019-08-06 18:58:10;N2437.87W08700.03;760;98;
2019-08-06 18:58:10;N2437.87W08700.03;770;100;
2019-08-06 18:59:10;N2437.92W08700.20;331;969;
2019-08-06 18:59:10;N2437.92W08700.20;640;610;
2019-08-06 18:59:10;N2437.92W08700.20;650;589;
2019-08-06 18:59:10;N2437.92W08700.20;760;98;
2019-08-06 18:59:10;N2437.92W08700.20;770;100;
2019-08-06 19:00:10;N2437.97W08700.37;331;993;
2019-08-06 19:00:10;N2437.97W08700.37;640;610;
2019-08-06 19:00:10;N2437.97W08700.37;650;590;
2019-08-06 19:00:10;N2437.97W08700.37;760;98;
2019-08-06 19:00:10;N2437.97W08700.37;770;100;
2019-08-06 19:01:10;N2438.02W08700.53;331;1022;
2019-08-06 19:01:10;N2438.02W08700.53;640;610;
2019-08-06 19:01:10;N2438.02W08700.53;650;588;
2019-08-06 19:01:10;N2438.02W08700.53;760;98;
2019-08-06 19:01:10;N2438.02W08700.53;770;100;
2019-08-06 19:02:10;N2438.07W08700.70;331;1050;
2019-08-06 19:02:10;N2438.07W08700.70;640;610;
2019-08-06 19:02:10;N2438.07W08700.70;650;588;
2019-08-06 19:02:10;N2438.07W08700.70;760;98;
2019-08-06 19:02:10;N2438.07W08700.70;770;100;
