DateTime,GpsPos,EventNumber,Data,Team
2019-08-14 22:33:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:34:02,N2943.70W09513.45,341,1543,Team Tosca
2019-08-14 22:34:02,N2943.70W09513.45,640,638,Team Tosca
2019-08-14 22:34:02,N2943.70W09513.45,650,606,Team Tosca
2019-08-14 22:34:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:34:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:35:02,N2943.70W09513.45,341,1557,Team Tosca
2019-08-14 22:35:02,N2943.70W09513.45,640,639,Team Tosca
2019-08-14 22:35:02,N2943.70W09513.45,650,607,Team Tosca
2019-08-14 22:35:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:35:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:36:02,N2943.70W09513.45,341,1572,Team Tosca
2019-08-14 22:36:02,N2943.70W09513.45,640,638,Team Tosca
2019-08-14 22:36:02,N2943.70W09513.45,650,606,Team Tosca
2019-08-14 22:36:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:36:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:37:02,N2943.70W09513.45,341,1586,Team Tosca
2019-08-14 22:37:02,N2943.70W09513.45,640,637,Team Tosca
2019-08-14 22:37:02,N2943.70W09513.45,650,609,Team Tosca
2019-08-14 22:37:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:37:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:38:02,N2943.70W09513.45,341,1600,Team Tosca
2019-08-14 22:38:02,N2943.70W09513.45,640,636,Team Tosca
2019-08-14 22:38:02,N2943.70W09513.45,650,605,Team Tosca
2019-08-14 22:38:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:38:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:39:02,N2943.70W09513.45,341,1614,Team Tosca
2019-08-14 22:39:02,N2943.70W09513.45,640,635,Team Tosca
2019-08-14 22:39:02,N2943.70W09513.45,650,604,Team Tosca
2019-08-14 22:39:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:39:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:40:02,N2943.70W09513.45,341,1628,Team Tosca
2019-08-14 22:40:02,N2943.70W09513.45,640,634,Team Tosca
2019-08-14 22:40:02,N2943.70W09513.45,650,603,Team Tosca
2019-08-14 22:40:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:40:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:41:02,N2943.70W09513.45,341,1642,Team Tosca
2019-08-14 22:41:02,N2943.70W09513.45,640,633,Team Tosca
2019-08-14 22:41:02,N2943.70W09513.45,650,603,Team Tosca
2019-08-14 22:41:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:41:02,N2943.70W09513.45,770,98,Team Tosca
2019-08-14 22:42:02,N2943.70W09513.45,341,1656,Team Tosca
2019-08-14 22:42:02,N2943.70W09513.45,640,627,Team Tosca
2019-08-14 22:42:02,N2943.70W09513.45,650,603,Team Tosca
2019-08-14 22:42:02,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:42:02,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:43:03,N2943.70W09513.45,341,1670,Team Tosca
2019-08-14 22:43:03,N2943.70W09513.45,640,630,Team Tosca
2019-08-14 22:43:03,N2943.70W09513.45,650,609,Team Tosca
2019-08-14 22:43:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:43:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:44:03,N2943.70W09513.45,341,1684,Team Tosca
2019-08-14 22:44:03,N2943.70W09513.45,640,627,Team Tosca
2019-08-14 22:44:03,N2943.70W09513.45,650,609,Team Tosca
2019-08-14 22:44:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:44:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:45:03,N2943.70W09513.45,341,1698,Team Tosca
2019-08-14 22:45:03,N2943.70W09513.45,640,629,Team Tosca
2019-08-14 22:45:03,N2943.70W09513.45,650,609,Team Tosca
2019-08-14 22:45:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:45:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:46:03,N2943.70W09513.45,341,1713,Team Tosca
2019-08-14 22:46:03,N2943.70W09513.45,640,628,Team Tosca
2019-08-14 22:46:03,N2943.70W09513.45,650,607,Team Tosca
2019-08-14 22:46:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:46:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:47:03,N2943.70W09513.45,341,1727,Team Tosca
2019-08-14 22:47:03,N2943.70W09513.45,640,627,Team Tosca
2019-08-14 22:47:03,N2943.70W09513.45,650,606,Team Tosca
2019-08-14 22:47:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:47:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:48:03,N2943.70W09513.45,341,1741,Team Tosca
2019-08-14 22:48:03,N2943.70W09513.45,640,627,Team Tosca
2019-08-14 22:48:03,N2943.70W09513.45,650,605,Team Tosca
2019-08-14 22:48:03,N2943.70W09513.45,760,94,Team Tosca
2019-08-14 22:48:03,N2943.70W09513.45,770,99,Team Tosca
2019-08-14 22:49:03,N2943.70W09513.45,341,1755,Team Tosca
