DateTime,GpsPos,EventNumber,Data
2019-07-18 02:10:08,N3756.91W00852.99,640,725
2019-07-18 02:10:08,N3756.91W00852.99,650,699
2019-07-18 02:10:08,N3756.91W00852.99,760,79
2019-07-18 02:10:08,N3756.91W00852.99,770,84
2019-07-18 02:11:08,N3756.91W00852.99,331,3346
2019-07-18 02:11:08,N3756.91W00852.99,640,725
2019-07-18 02:11:08,N3756.91W00852.99,650,700
2019-07-18 02:11:08,N3756.91W00852.99,760,79
2019-07-18 02:11:08,N3756.91W00852.99,770,84
2019-07-18 02:12:08,N3756.91W00852.99,331,3372
2019-07-18 02:12:08,N3756.91W00852.99,640,726
2019-07-18 02:12:08,N3756.91W00852.99,650,699
2019-07-18 02:12:08,N3756.91W00852.99,760,79
2019-07-18 02:12:08,N3756.91W00852.99,770,84
2019-07-18 02:13:08,N3756.91W00852.99,331,3398
2019-07-18 02:13:08,N3756.91W00852.99,640,726
2019-07-18 02:13:08,N3756.91W00852.99,650,699
2019-07-18 02:13:08,N3756.91W00852.99,760,79
2019-07-18 02:13:08,N3756.91W00852.99,770,84
2019-07-18 02:14:08,N3756.91W00852.99,331,3423
2019-07-18 02:14:08,N3756.91W00852.99,640,725
2019-07-18 02:14:08,N3756.91W00852.99,650,699
2019-07-18 02:14:08,N3756.91W00852.99,760,79
2019-07-18 02:14:08,N3756.91W00852.99,770,84
2019-07-18 02:15:08,N3756.91W00852.99,331,3448
2019-07-18 02:15:08,N3756.91W00852.99,640,727
2019-07-18 02:15:08,N3756.91W00852.99,650,699
2019-07-18 02:15:08,N3756.91W00852.99,760,79
2019-07-18 02:15:08,N3756.91W00852.99,770,84
2019-07-18 02:15:10,-,240,0
2019-07-18 02:15:41,N3756.91W00852.99,805,0
2019-07-18 02:16:08,N3756.91W00852.99,331,3473
2019-07-18 02:16:08,N3756.91W00852.99,640,726
2019-07-18 02:16:08,N3756.91W00852.99,650,699
2019-07-18 02:16:08,N3756.91W00852.99,760,79
2019-07-18 02:16:08,N3756.91W00852.99,770,84
2019-07-18 02:17:08,N3756.91W00852.99,331,3499
2019-07-18 02:17:08,N3756.91W00852.99,640,727
2019-07-18 02:17:08,N3756.91W00852.99,650,699
