DateTime,GpsPos,EventNumber,Data
2019-06-30 23:21:33,N4120.25E00209.17,760,81
2019-06-30 23:21:33,N4120.25E00209.17,770,86
2019-06-30 23:22:33,N4120.25E00209.17,331,2706
2019-06-30 23:22:33,N4120.25E00209.17,640,722
2019-06-30 23:22:33,N4120.25E00209.17,650,693
2019-06-30 23:22:33,N4120.25E00209.17,760,81
2019-06-30 23:22:33,N4120.25E00209.17,770,86
2019-06-30 23:22:43,-,240,0
2019-06-30 23:23:14,N4120.24E00209.17,805,0
2019-06-30 23:23:33,N4120.25E00209.17,331,2727
2019-06-30 23:23:33,N4120.25E00209.17,640,724
2019-06-30 23:23:33,N4120.25E00209.17,650,694
2019-06-30 23:23:33,N4120.25E00209.17,760,81
2019-06-30 23:23:33,N4120.25E00209.17,770,86
2019-06-30 23:24:33,N4120.25E00209.17,331,2752
2019-06-30 23:24:33,N4120.25E00209.17,640,715
2019-06-30 23:24:33,N4120.25E00209.17,650,687
2019-06-30 23:24:33,N4120.25E00209.17,760,80
2019-06-30 23:24:33,N4120.25E00209.17,770,85
2019-06-30 23:25:33,N4120.25E00209.17,331,2776
2019-06-30 23:25:33,N4120.25E00209.17,640,713
2019-06-30 23:25:33,N4120.25E00209.17,650,686
2019-06-30 23:25:33,N4120.25E00209.17,760,80
2019-06-30 23:25:33,N4120.25E00209.17,770,85
2019-06-30 23:26:33,N4120.25E00209.17,331,2801
2019-06-30 23:26:33,N4120.25E00209.17,640,712
2019-06-30 23:26:33,N4120.25E00209.17,650,686
2019-06-30 23:26:33,N4120.25E00209.17,760,80
2019-06-30 23:26:33,N4120.25E00209.17,770,85
2019-06-30 23:27:33,N4120.25E00209.17,331,2825
2019-06-30 23:27:33,N4120.25E00209.17,640,712
2019-06-30 23:27:33,N4120.25E00209.17,650,686
2019-06-30 23:27:33,N4120.25E00209.17,760,80
2019-06-30 23:27:33,N4120.25E00209.17,770,85
2019-06-30 23:28:33,N4120.25E00209.17,331,2849
2019-06-30 23:28:33,N4120.25E00209.17,640,713
2019-06-30 23:28:33,N4120.25E00209.17,650,686
2019-06-30 23:28:33,N4120.25E00209.17,760,80
2019-06-30 23:28:33,N4120.25E00209.17,770,85
2019-06-30 23:29:34,N4120.25E00209.17,331,2873
2019-06-30 23:29:34,N4120.25E00209.17,640,713
2019-06-30 23:29:34,N4120.25E00209.17,650,685
2019-06-30 23:29:34,N4120.25E00209.17,760,80
2019-06-30 23:29:34,N4120.25E00209.17,770,85
2019-06-30 23:30:34,N4120.25E00209.17,331,2896
2019-06-30 23:30:34,N4120.25E00209.17,640,713
2019-06-30 23:30:34,N4120.25E00209.17,650,684
2019-06-30 23:30:34,N4120.25E00209.17,760,80
2019-06-30 23:30:34,N4120.25E00209.17,770,85
2019-06-30 23:31:34,N4120.25E00209.17,331,2920
2019-06-30 23:31:34,N4120.25E00209.17,640,713
2019-06-30 23:31:34,N4120.25E00209.17,650,684
2019-06-30 23:31:34,N4120.25E00209.17,760,80
2019-06-30 23:31:34,N4120.25E00209.17,770,85
2019-06-30 23:32:34,N4120.25E00209.17,331,2943
2019-06-30 23:32:34,N4120.25E00209.17,640,714
2019-06-30 23:32:34,N4120.25E00209.17,650,683
2019-06-30 23:32:34,N4120.25E00209.17,760,80
2019-06-30 23:32:34,N4120.25E00209.17,770,85
2019-06-30 23:33:34,N4120.25E00209.17,331,2967
2019-06-30 23:33:34,N4120.25E00209.17,640,714
2019-06-30 23:33:34,N4120.25E00209.17,650,683
2019-06-30 23:33:34,N4120.25E00209.17,760,80
2019-06-30 23:33:34,N4120.25E00209.17,770,85
2019-06-30 23:34:34,N4120.25E00209.17,331,2990
2019-06-30 23:34:34,N4120.25E00209.17,640,714
2019-06-30 23:34:34,N4120.25E00209.17,650,683
2019-06-30 23:34:34,N4120.25E00209.17,760,80
2019-06-30 23:34:34,N4120.25E00209.17,770,85
2019-06-30 23:35:34,N4120.25E00209.17,331,3012
2019-06-30 23:35:34,N4120.25E00209.17,640,711
2019-06-30 23:35:34,N4120.25E00209.17,650,685
2019-06-30 23:35:34,N4120.25E00209.17,760,80
2019-06-30 23:35:34,N4120.25E00209.17,770,85
2019-06-30 23:36:34,N4120.25E00209.17,331,3035
2019-06-30 23:36:34,N4120.25E00209.17,640,712
2019-06-30 23:36:34,N4120.25E00209.17,650,681
2019-06-30 23:36:34,N4120.25E00209.17,760,80
2019-06-30 23:36:34,N4120.25E00209.17,770,85
2019-06-30 23:37:34,N4120.25E00209.17,331,3057
2019-06-30 23:37:34,N4120.25E00209.17,640,713
2019-06-30 23:37:34,N4120.25E00209.17,650,681
2019-06-30 23:37:34,N4120.25E00209.17,760,80
2019-06-30 23:37:34,N4120.25E00209.17,770,85
