DateTime,GpsPos,EventNumber,Data,Team
2019-06-23 04:40:59,N3709.66W00653.95,331,2451,Team Tosca
2019-06-23 04:40:59,N3709.66W00653.95,640,773,Team Tosca
2019-06-23 04:40:59,N3709.66W00653.95,650,745,Team Tosca
2019-06-23 04:40:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:40:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:41:59,N3709.66W00653.95,331,2461,Team Tosca
2019-06-23 04:41:59,N3709.66W00653.95,640,778,Team Tosca
2019-06-23 04:41:59,N3709.66W00653.95,650,747,Team Tosca
2019-06-23 04:41:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:41:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:42:56,-,240,0,Team Tosca
2019-06-23 04:42:59,N3709.66W00653.95,640,777,Team Tosca
2019-06-23 04:42:59,N3709.66W00653.95,650,748,Team Tosca
2019-06-23 04:42:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:42:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:43:27,N3709.66W00653.95,805,0,Team Tosca
2019-06-23 04:43:59,N3709.66W00653.95,331,2482,Team Tosca
2019-06-23 04:43:59,N3709.66W00653.95,640,784,Team Tosca
2019-06-23 04:43:59,N3709.66W00653.95,650,755,Team Tosca
2019-06-23 04:43:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:43:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:44:59,N3709.66W00653.95,331,2493,Team Tosca
2019-06-23 04:44:59,N3709.66W00653.95,640,789,Team Tosca
2019-06-23 04:44:59,N3709.66W00653.95,650,760,Team Tosca
2019-06-23 04:44:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:44:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:45:59,N3709.66W00653.95,331,2505,Team Tosca
2019-06-23 04:45:59,N3709.66W00653.95,640,788,Team Tosca
2019-06-23 04:45:59,N3709.66W00653.95,650,760,Team Tosca
2019-06-23 04:45:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:45:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:46:59,N3709.66W00653.95,331,2516,Team Tosca
2019-06-23 04:46:59,N3709.66W00653.95,640,785,Team Tosca
2019-06-23 04:46:59,N3709.66W00653.95,650,758,Team Tosca
2019-06-23 04:46:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:46:59,N3709.66W00653.95,770,75,Team Tosca
