Team Tosca;;;;
PB-02439;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-06-21 21:33:46;N3709.66W00653.95;760;67;
2019-06-21 21:33:46;N3709.66W00653.95;770;69;
2019-06-21 21:34:46;N3709.66W00653.95;331;3839;
2019-06-21 21:34:46;N3709.66W00653.95;640;800;
2019-06-21 21:34:46;N3709.66W00653.95;650;782;
2019-06-21 21:34:46;N3709.66W00653.95;760;66;
2019-06-21 21:34:46;N3709.66W00653.95;770;69;
2019-06-21 21:35:46;N3709.66W00653.95;331;3853;
2019-06-21 21:35:46;N3709.66W00653.95;640;803;
2019-06-21 21:35:46;N3709.66W00653.95;650;785;
2019-06-21 21:35:46;N3709.66W00653.95;760;67;
2019-06-21 21:35:46;N3709.66W00653.95;770;69;
2019-06-21 21:36:46;N3709.66W00653.95;331;3868;
2019-06-21 21:36:46;N3709.66W00653.95;640;807;
2019-06-21 21:36:46;N3709.66W00653.95;650;784;
2019-06-21 21:36:46;N3709.66W00653.95;760;67;
2019-06-21 21:36:46;N3709.66W00653.95;770;69;
2019-06-21 21:37:46;N3709.66W00653.95;331;3882;
2019-06-21 21:37:46;N3709.66W00653.95;640;807;
2019-06-21 21:37:46;N3709.66W00653.95;650;785;
2019-06-21 21:37:46;N3709.66W00653.95;760;67;
2019-06-21 21:37:46;N3709.66W00653.95;770;69;
2019-06-21 21:38:35;-;250;0;
2019-06-21 21:38:46;N3709.66W00653.95;640;802;
2019-06-21 21:38:46;N3709.66W00653.95;650;783;
2019-06-21 21:38:46;N3709.66W00653.95;760;67;
2019-06-21 21:38:46;N3709.66W00653.95;770;69;
2019-06-21 21:39:19;N3709.66W00653.95;165;0;
2019-06-21 21:39:19;-;400;0;
2019-06-21 21:39:40;N3709.66W00653.95;160;0;
2019-06-21 21:39:40;-;380;0;
2019-06-21 21:39:41;-;190;0;
2019-06-21 21:39:41;N3709.66W00653.95;330;3901;
2019-06-21 21:44:48;-;210;0;
2019-06-21 21:44:48;-;370;0;
2019-06-21 21:44:50;N3709.66W00653.95;150;0;
2019-06-21 21:46:31;-;430;1;
2019-06-21 21:46:33;-;430;2;
2019-06-21 21:46:39;-;390;0;
2019-06-21 21:46:45;N3709.66W00653.95;155;0;
2019-06-21 21:46:46;N3709.66W00653.95;640;1231;
2019-06-21 21:46:46;N3709.66W00653.95;650;1140;
2019-06-21 21:46:46;N3709.66W00653.95;760;100;
2019-06-21 21:46:46;N3709.66W00653.95;770;100;
2019-06-21 21:47:28;N3709.66W00653.95;220;0;
2019-06-21 21:47:28;N3709.66W00653.95;805;0;
2019-06-21 21:47:46;N3709.66W00653.95;331;2;
2019-06-21 21:47:46;N3709.66W00653.95;640;1189;
2019-06-21 21:47:46;N3709.66W00653.95;650;1082;
2019-06-21 21:47:46;N3709.66W00653.95;760;100;
2019-06-21 21:47:46;N3709.66W00653.95;770;100;
2019-06-21 21:48:46;N3709.66W00653.95;331;14;
2019-06-21 21:48:46;N3709.66W00653.95;640;1255;
2019-06-21 21:48:46;N3709.66W00653.95;650;1163;
2019-06-21 21:48:46;N3709.66W00653.95;760;100;
2019-06-21 21:48:46;N3709.66W00653.95;770;100;
2019-06-21 21:49:46;N3709.66W00653.95;331;31;
2019-06-21 21:49:46;N3709.66W00653.95;640;1239;
2019-06-21 21:49:46;N3709.66W00653.95;650;1147;
2019-06-21 21:49:46;N3709.66W00653.95;760;99;
2019-06-21 21:49:46;N3709.66W00653.95;770;99;
2019-06-21 21:50:46;N3709.66W00653.95;331;47;
2019-06-21 21:50:46;N3709.66W00653.95;640;1163;
2019-06-21 21:50:46;N3709.66W00653.95;650;1086;
2019-06-21 21:50:46;N3709.66W00653.95;760;94;
2019-06-21 21:50:46;N3709.66W00653.95;770;95;
2019-06-21 21:51:46;N3709.66W00653.95;331;63;
2019-06-21 21:51:46;N3709.66W00653.95;640;1113;
2019-06-21 21:51:46;N3709.66W00653.95;650;1048;
2019-06-21 21:51:46;N3709.66W00653.95;760;90;
2019-06-21 21:51:46;N3709.66W00653.95;770;91;
2019-06-21 21:52:46;N3709.66W00653.95;331;79;
2019-06-21 21:52:46;N3709.66W00653.95;640;1050;
2019-06-21 21:52:46;N3709.66W00653.95;650;994;
2019-06-21 21:52:46;N3709.66W00653.95;760;86;
2019-06-21 21:52:46;N3709.66W00653.95;770;88;
2019-06-21 21:53:46;N3709.66W00653.95;331;96;
2019-06-21 21:53:46;N3709.66W00653.95;640;1002;
2019-06-21 21:53:46;N3709.66W00653.95;650;957;
2019-06-21 21:53:46;N3709.66W00653.95;760;83;
2019-06-21 21:53:46;N3709.66W00653.95;770;85;
2019-06-21 21:54:46;N3709.66W00653.95;331;109;
2019-06-21 21:54:46;N3709.66W00653.95;640;967;
2019-06-21 21:54:46;N3709.66W00653.95;650;927;
2019-06-21 21:54:46;N3709.66W00653.95;760;81;
2019-06-21 21:54:46;N3709.66W00653.95;770;83;
2019-06-21 21:55:46;N3709.66W00653.95;331;123;
2019-06-21 21:55:46;N3709.66W00653.95;640;926;
2019-06-21 21:55:46;N3709.66W00653.95;650;891;
2019-06-21 21:55:46;N3709.66W00653.95;760;79;
2019-06-21 21:55:46;N3709.66W00653.95;770;81;
2019-06-21 21:56:46;N3709.66W00653.95;331;136;
2019-06-21 21:56:46;N3709.66W00653.95;640;923;
2019-06-21 21:56:46;N3709.66W00653.95;650;893;
2019-06-21 21:56:46;N3709.66W00653.95;760;77;
2019-06-21 21:56:46;N3709.66W00653.95;770;80;
2019-06-21 21:57:46;N3709.66W00653.95;331;149;
2019-06-21 21:57:46;N3709.66W00653.95;640;894;
2019-06-21 21:57:46;N3709.66W00653.95;650;865;
2019-06-21 21:57:46;N3709.66W00653.95;760;76;
2019-06-21 21:57:46;N3709.66W00653.95;770;79;
2019-06-21 21:58:46;-;240;0;
2019-06-21 21:58:46;N3709.66W00653.95;640;890;
2019-06-21 21:58:46;N3709.66W00653.95;650;862;
2019-06-21 21:58:46;N3709.66W00653.95;760;75;
2019-06-21 21:58:46;N3709.66W00653.95;770;77;
2019-06-21 21:59:18;N3709.66W00653.95;805;0;
2019-06-21 21:59:47;N3709.66W00653.95;331;174;
2019-06-21 21:59:47;N3709.66W00653.95;640;882;
2019-06-21 21:59:47;N3709.66W00653.95;650;857;
2019-06-21 21:59:47;N3709.66W00653.95;760;73;
2019-06-21 21:59:47;N3709.66W00653.95;770;76;
2019-06-21 22:00:47;N3709.66W00653.95;331;188;
2019-06-21 22:00:47;N3709.66W00653.95;640;872;
2019-06-21 22:00:47;N3709.66W00653.95;650;848;
2019-06-21 22:00:47;N3709.66W00653.95;760;72;
2019-06-21 22:00:47;N3709.66W00653.95;770;75;
2019-06-21 22:01:47;N3709.66W00653.95;331;202;
2019-06-21 22:01:47;N3709.66W00653.95;640;856;
2019-06-21 22:01:47;N3709.66W00653.95;650;832;
2019-06-21 22:01:47;N3709.66W00653.95;760;72;
2019-06-21 22:01:47;N3709.66W00653.95;770;75;
2019-06-21 22:02:47;N3709.66W00653.95;331;216;
2019-06-21 22:02:47;N3709.66W00653.95;640;835;
2019-06-21 22:02:47;N3709.66W00653.95;650;817;
2019-06-21 22:02:47;N3709.66W00653.95;760;71;
2019-06-21 22:02:47;N3709.66W00653.95;770;74;
2019-06-21 22:03:47;N3709.66W00653.95;331;230;
2019-06-21 22:03:47;N3709.66W00653.95;640;813;
