DateTime,GpsPos,EventNumber,Data,Team
2019-07-18 13:16:34,N3756.91W00852.99,341,20,Team Tosca
2019-07-18 13:16:34,N3756.91W00852.99,650,874,Team Tosca
2019-07-18 13:16:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:17:34,N3756.91W00852.99,341,23,Team Tosca
2019-07-18 13:17:34,N3756.91W00852.99,650,869,Team Tosca
2019-07-18 13:17:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:18:34,N3756.91W00852.99,341,26,Team Tosca
2019-07-18 13:18:34,N3756.91W00852.99,650,865,Team Tosca
2019-07-18 13:18:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:19:34,N3756.91W00852.99,341,30,Team Tosca
2019-07-18 13:19:34,N3756.91W00852.99,650,848,Team Tosca
2019-07-18 13:19:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:20:34,N3756.91W00852.99,341,33,Team Tosca
2019-07-18 13:20:34,N3756.91W00852.99,650,842,Team Tosca
2019-07-18 13:20:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:21:34,N3756.91W00852.99,341,37,Team Tosca
2019-07-18 13:21:34,N3756.91W00852.99,650,847,Team Tosca
2019-07-18 13:21:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:22:34,N3756.91W00852.99,341,40,Team Tosca
2019-07-18 13:22:34,N3756.91W00852.99,650,857,Team Tosca
2019-07-18 13:22:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:23:34,N3756.91W00852.99,341,44,Team Tosca
2019-07-18 13:23:34,N3756.91W00852.99,650,844,Team Tosca
2019-07-18 13:23:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:24:34,N3756.91W00852.99,341,48,Team Tosca
2019-07-18 13:24:34,N3756.91W00852.99,650,841,Team Tosca
2019-07-18 13:24:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:25:34,N3756.91W00852.99,341,51,Team Tosca
2019-07-18 13:25:34,N3756.91W00852.99,650,854,Team Tosca
2019-07-18 13:25:34,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:26:35,N3756.91W00852.99,341,55,Team Tosca
2019-07-18 13:26:35,N3756.91W00852.99,650,858,Team Tosca
2019-07-18 13:26:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:27:35,N3756.91W00852.99,341,58,Team Tosca
2019-07-18 13:27:35,N3756.91W00852.99,650,861,Team Tosca
2019-07-18 13:27:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:28:35,N3756.91W00852.99,341,62,Team Tosca
2019-07-18 13:28:35,N3756.91W00852.99,650,860,Team Tosca
2019-07-18 13:28:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:29:35,N3756.91W00852.99,341,66,Team Tosca
2019-07-18 13:29:35,N3756.91W00852.99,650,860,Team Tosca
2019-07-18 13:29:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:30:35,N3756.91W00852.99,341,70,Team Tosca
2019-07-18 13:30:35,N3756.91W00852.99,650,858,Team Tosca
2019-07-18 13:30:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:31:35,N3756.91W00852.99,341,74,Team Tosca
2019-07-18 13:31:35,N3756.91W00852.99,650,857,Team Tosca
2019-07-18 13:31:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:32:35,N3756.91W00852.99,341,78,Team Tosca
2019-07-18 13:32:35,N3756.91W00852.99,650,854,Team Tosca
2019-07-18 13:32:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:33:35,N3756.91W00852.99,341,83,Team Tosca
2019-07-18 13:33:35,N3756.91W00852.99,650,855,Team Tosca
2019-07-18 13:33:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:34:35,N3756.91W00852.99,341,87,Team Tosca
2019-07-18 13:34:35,N3756.91W00852.99,650,857,Team Tosca
2019-07-18 13:34:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:35:35,N3756.91W00852.99,341,91,Team Tosca
2019-07-18 13:35:35,N3756.91W00852.99,650,854,Team Tosca
2019-07-18 13:35:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:36:35,N3756.91W00852.99,341,95,Team Tosca
2019-07-18 13:36:35,N3756.91W00852.99,650,849,Team Tosca
2019-07-18 13:36:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:37:35,N3756.91W00852.99,341,100,Team Tosca
2019-07-18 13:37:35,N3756.91W00852.99,650,839,Team Tosca
2019-07-18 13:37:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:38:35,N3756.91W00852.99,341,104,Team Tosca
2019-07-18 13:38:35,N3756.91W00852.99,650,830,Team Tosca
2019-07-18 13:38:35,N3756.91W00852.99,770,100,Team Tosca
2019-07-18 13:39:35,N3756.91W00852.99,341,108,Team Tosca
