DateTime,GpsPos,EventNumber,Data,Team
2019-08-03 15:25:12,-,370,0,Team Tosca
2019-08-03 15:25:14,N2902.12W07540.63,150,0,Team Tosca
2019-08-03 15:26:56,-,430,1,Team Tosca
2019-08-03 15:26:57,-,430,2,Team Tosca
2019-08-03 15:27:02,-,390,0,Team Tosca
2019-08-03 15:27:07,N2901.89W07540.86,640,824,Team Tosca
2019-08-03 15:27:07,N2901.89W07540.86,650,728,Team Tosca
2019-08-03 15:27:07,N2901.89W07540.86,760,100,Team Tosca
2019-08-03 15:27:07,N2901.89W07540.86,770,100,Team Tosca
2019-08-03 15:27:10,N2901.88W07540.87,155,0,Team Tosca
2019-08-03 15:27:27,N2901.84W07540.90,220,0,Team Tosca
2019-08-03 15:27:27,N2901.84W07540.90,806,0,Team Tosca
2019-08-03 15:28:07,N2901.76W07540.99,331,7,Team Tosca
2019-08-03 15:28:07,N2901.76W07540.99,640,805,Team Tosca
2019-08-03 15:28:07,N2901.76W07540.99,650,739,Team Tosca
2019-08-03 15:28:07,N2901.76W07540.99,760,100,Team Tosca
2019-08-03 15:28:07,N2901.76W07540.99,770,100,Team Tosca
2019-08-03 15:29:07,N2901.63W07541.11,331,21,Team Tosca
2019-08-03 15:29:07,N2901.63W07541.11,640,700,Team Tosca
2019-08-03 15:29:07,N2901.63W07541.11,650,634,Team Tosca
2019-08-03 15:29:07,N2901.63W07541.11,760,100,Team Tosca
2019-08-03 15:29:07,N2901.63W07541.11,770,100,Team Tosca
2019-08-03 15:30:07,N2901.50W07541.24,331,34,Team Tosca
2019-08-03 15:30:07,N2901.50W07541.24,640,695,Team Tosca
2019-08-03 15:30:07,N2901.50W07541.24,650,637,Team Tosca
2019-08-03 15:30:07,N2901.50W07541.24,760,100,Team Tosca
2019-08-03 15:30:07,N2901.50W07541.24,770,100,Team Tosca
2019-08-03 15:31:01,-,250,0,Team Tosca
2019-08-03 15:31:07,N2901.38W07541.37,640,699,Team Tosca
