Team Toccata;;;;
PB-01998;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-01-24 11:14:07;N0547.2242E11801.522;341;708;
2019-01-24 11:14:07;N0547.2242E11801.522;640;1622;
2019-01-24 11:14:07;N0547.2242E11801.522;650;1631;
2019-01-24 11:14:07;N0547.2242E11801.522;760;89;
2019-01-24 11:14:07;N0547.2242E11801.522;770;90;
2019-01-24 11:15:07;N0547.2242E11801.522;341;725;
2019-01-24 11:15:07;N0547.2242E11801.522;640;1615;
2019-01-24 11:15:07;N0547.2242E11801.522;650;1631;
2019-01-24 11:15:07;N0547.2242E11801.522;760;89;
2019-01-24 11:15:07;N0547.2242E11801.522;770;90;
2019-01-24 11:16:07;N0547.2239E11801.522;341;742;
2019-01-24 11:16:07;N0547.2239E11801.522;640;1605;
2019-01-24 11:16:07;N0547.2239E11801.522;650;1621;
2019-01-24 11:16:07;N0547.2239E11801.522;760;89;
2019-01-24 11:16:07;N0547.2239E11801.522;770;90;
2019-01-24 11:17:07;N0547.2240E11801.522;341;760;
2019-01-24 11:17:07;N0547.2240E11801.522;640;1614;
2019-01-24 11:17:07;N0547.2240E11801.522;650;1627;
2019-01-24 11:17:07;N0547.2240E11801.522;760;89;
2019-01-24 11:17:07;N0547.2240E11801.522;770;90;
2019-01-24 11:18:08;N0547.2240E11801.522;341;777;
2019-01-24 11:18:08;N0547.2240E11801.522;640;1613;
2019-01-24 11:18:08;N0547.2240E11801.522;650;1628;
2019-01-24 11:18:08;N0547.2240E11801.522;760;89;
2019-01-24 11:18:08;N0547.2240E11801.522;770;90;
2019-01-24 11:19:08;N0547.2241E11801.521;341;794;
2019-01-24 11:19:08;N0547.2241E11801.521;640;1611;
2019-01-24 11:19:08;N0547.2241E11801.521;650;1626;
2019-01-24 11:19:08;N0547.2241E11801.521;760;89;
2019-01-24 11:19:08;N0547.2241E11801.521;770;89;
2019-01-24 11:20:08;N0547.2242E11801.522;341;811;
2019-01-24 11:20:08;N0547.2242E11801.522;640;1612;
2019-01-24 11:20:08;N0547.2242E11801.522;650;1615;
2019-01-24 11:20:08;N0547.2242E11801.522;760;89;
2019-01-24 11:20:08;N0547.2242E11801.522;770;90;
2019-01-24 11:21:08;N0547.2243E11801.521;341;828;
2019-01-24 11:21:08;N0547.2243E11801.521;640;1613;
2019-01-24 11:21:08;N0547.2243E11801.521;650;1601;
2019-01-24 11:21:08;N0547.2243E11801.521;760;89;
2019-01-24 11:21:08;N0547.2243E11801.521;770;90;
2019-01-24 11:22:08;N0547.2241E11801.521;341;845;
2019-01-24 11:22:08;N0547.2241E11801.521;640;1610;
2019-01-24 11:22:08;N0547.2241E11801.521;650;1607;
2019-01-24 11:22:08;N0547.2241E11801.521;760;89;
2019-01-24 11:22:08;N0547.2241E11801.521;770;90;
2019-01-24 11:23:08;N0547.2241E11801.521;341;861;
2019-01-24 11:23:08;N0547.2241E11801.521;640;1609;
2019-01-24 11:23:08;N0547.2241E11801.521;650;1610;
2019-01-24 11:23:08;N0547.2241E11801.521;760;89;
2019-01-24 11:23:08;N0547.2241E11801.521;770;89;
2019-01-24 11:24:08;N0547.2242E11801.521;341;878;
2019-01-24 11:24:08;N0547.2242E11801.521;640;1607;
2019-01-24 11:24:08;N0547.2242E11801.521;650;1609;
2019-01-24 11:24:08;N0547.2242E11801.521;760;89;
2019-01-24 11:24:08;N0547.2242E11801.521;770;89;
2019-01-24 11:25:08;N0547.2243E11801.521;341;895;
2019-01-24 11:25:08;N0547.2243E11801.521;640;1606;
2019-01-24 11:25:08;N0547.2243E11801.521;650;1607;
2019-01-24 11:25:08;N0547.2243E11801.521;760;89;
2019-01-24 11:25:08;N0547.2243E11801.521;770;89;
2019-01-24 11:26:08;N0547.2242E11801.522;341;912;
2019-01-24 11:26:08;N0547.2242E11801.522;640;1605;
2019-01-24 11:26:08;N0547.2242E11801.522;650;1610;
2019-01-24 11:26:08;N0547.2242E11801.522;760;89;
2019-01-24 11:26:08;N0547.2242E11801.522;770;89;
2019-01-24 11:27:08;N0547.2243E11801.522;341;928;
2019-01-24 11:27:08;N0547.2243E11801.522;640;1605;
2019-01-24 11:27:08;N0547.2243E11801.522;650;1618;
2019-01-24 11:27:08;N0547.2243E11801.522;760;89;
2019-01-24 11:27:08;N0547.2243E11801.522;770;90;
2019-01-24 11:28:08;N0547.2243E11801.522;341;945;
2019-01-24 11:28:08;N0547.2243E11801.522;640;1615;
2019-01-24 11:28:08;N0547.2243E11801.522;650;1615;
2019-01-24 11:28:08;N0547.2243E11801.522;760;90;
2019-01-24 11:28:08;N0547.2243E11801.522;770;90;
2019-01-24 11:29:08;N0547.2243E11801.522;341;961;
2019-01-24 11:29:08;N0547.2243E11801.522;640;1610;
2019-01-24 11:29:08;N0547.2243E11801.522;650;1614;
2019-01-24 11:29:08;N0547.2243E11801.522;760;90;
2019-01-24 11:29:08;N0547.2243E11801.522;770;90;
2019-01-24 11:30:08;N0547.2242E11801.522;341;978;
2019-01-24 11:30:08;N0547.2242E11801.522;640;1616;
2019-01-24 11:30:08;N0547.2242E11801.522;650;1611;
2019-01-24 11:30:08;N0547.2242E11801.522;760;90;
2019-01-24 11:30:08;N0547.2242E11801.522;770;90;
2019-01-24 11:31:08;N0547.2243E11801.522;341;994;
2019-01-24 11:31:08;N0547.2243E11801.522;640;1606;
2019-01-24 11:31:08;N0547.2243E11801.522;650;1616;
2019-01-24 11:31:08;N0547.2243E11801.522;760;89;
2019-01-24 11:31:08;N0547.2243E11801.522;770;90;
2019-01-24 11:32:08;N0547.2243E11801.522;341;1010;
2019-01-24 11:32:08;N0547.2243E11801.522;640;1613;
2019-01-24 11:32:08;N0547.2243E11801.522;650;1596;
2019-01-24 11:32:08;N0547.2243E11801.522;760;90;
2019-01-24 11:32:08;N0547.2243E11801.522;770;89;
2019-01-24 11:33:08;N0547.2242E11801.522;341;1027;
2019-01-24 11:33:08;N0547.2242E11801.522;640;1603;
2019-01-24 11:33:08;N0547.2242E11801.522;650;1608;
2019-01-24 11:33:08;N0547.2242E11801.522;760;90;
2019-01-24 11:33:08;N0547.2242E11801.522;770;90;
2019-01-24 11:34:08;N0547.2243E11801.522;341;1043;
2019-01-24 11:34:08;N0547.2243E11801.522;640;1595;
2019-01-24 11:34:08;N0547.2243E11801.522;650;1603;
2019-01-24 11:34:08;N0547.2243E11801.522;760;89;
2019-01-24 11:34:08;N0547.2243E11801.522;770;89;
2019-01-24 11:35:08;N0547.2243E11801.522;341;1059;
2019-01-24 11:35:08;N0547.2243E11801.522;640;1604;
2019-01-24 11:35:08;N0547.2243E11801.522;650;1611;
2019-01-24 11:35:08;N0547.2243E11801.522;760;90;
2019-01-24 11:35:08;N0547.2243E11801.522;770;90;
2019-01-24 11:36:08;N0547.2242E11801.522;341;1075;
2019-01-24 11:36:08;N0547.2242E11801.522;640;1621;
2019-01-24 11:36:08;N0547.2242E11801.522;650;1607;
2019-01-24 11:36:08;N0547.2242E11801.522;760;89;
2019-01-24 11:36:08;N0547.2242E11801.522;770;90;
2019-01-24 11:37:08;N0547.2242E11801.522;341;1091;
2019-01-24 11:37:08;N0547.2242E11801.522;640;1598;
2019-01-24 11:37:08;N0547.2242E11801.522;650;1612;
2019-01-24 11:37:08;N0547.2242E11801.522;760;90;
2019-01-24 11:37:08;N0547.2242E11801.522;770;90;
2019-01-24 11:38:08;N0547.2242E11801.522;341;1107;
2019-01-24 11:38:08;N0547.2242E11801.522;640;1577;
2019-01-24 11:38:08;N0547.2242E11801.522;650;1613;
2019-01-24 11:38:08;N0547.2242E11801.522;760;90;
2019-01-24 11:38:08;N0547.2242E11801.522;770;90;
2019-01-24 11:39:08;N0547.2243E11801.522;341;1123;
2019-01-24 11:39:08;N0547.2243E11801.522;640;1610;
2019-01-24 11:39:08;N0547.2243E11801.522;650;1594;
2019-01-24 11:39:08;N0547.2243E11801.522;760;90;
2019-01-24 11:39:08;N0547.2243E11801.522;770;90;
2019-01-24 11:40:08;N0547.2243E11801.521;341;1138;
2019-01-24 11:40:08;N0547.2243E11801.521;640;1608;
2019-01-24 11:40:08;N0547.2243E11801.521;650;1593;
2019-01-24 11:40:08;N0547.2243E11801.521;760;90;
2019-01-24 11:40:08;N0547.2243E11801.521;770;90;
2019-01-24 11:41:08;N0547.2243E11801.521;341;1154;
2019-01-24 11:41:08;N0547.2243E11801.521;640;1597;
2019-01-24 11:41:08;N0547.2243E11801.521;650;1598;
2019-01-24 11:41:08;N0547.2243E11801.521;760;90;
2019-01-24 11:41:08;N0547.2243E11801.521;770;90;
2019-01-24 11:42:08;N0547.2243E11801.521;341;1170;
2019-01-24 11:42:08;N0547.2243E11801.521;640;1596;
2019-01-24 11:42:08;N0547.2243E11801.521;650;1596;
2019-01-24 11:42:08;N0547.2243E11801.521;760;90;
2019-01-24 11:42:08;N0547.2243E11801.521;770;90;
2019-01-24 11:43:08;N0547.2242E11801.521;341;1183;
2019-01-24 11:43:08;N0547.2242E11801.521;640;1597;
2019-01-24 11:43:08;N0547.2242E11801.521;650;1601;
2019-01-24 11:43:08;N0547.2242E11801.521;760;90;
2019-01-24 11:43:08;N0547.2242E11801.521;770;90;
2019-01-24 11:44:09;N0547.2242E11801.521;341;1198;
2019-01-24 11:44:09;N0547.2242E11801.521;640;1605;
2019-01-24 11:44:09;N0547.2242E11801.521;650;1662;
2019-01-24 11:44:09;N0547.2242E11801.521;760;90;
2019-01-24 11:44:09;N0547.2242E11801.521;770;90;
2019-01-24 11:45:09;N0547.2241E11801.521;341;1214;
2019-01-24 11:45:09;N0547.2241E11801.521;640;1611;
2019-01-24 11:45:09;N0547.2241E11801.521;650;1599;
2019-01-24 11:45:09;N0547.2241E11801.521;760;91;
2019-01-24 11:45:09;N0547.2241E11801.521;770;90;
2019-01-24 11:46:09;N0547.2242E11801.521;341;1229;
2019-01-24 11:46:09;N0547.2242E11801.521;640;1599;
2019-01-24 11:46:09;N0547.2242E11801.521;650;1580;
2019-01-24 11:46:09;N0547.2242E11801.521;760;91;
2019-01-24 11:46:09;N0547.2242E11801.521;770;90;
2019-01-24 11:47:09;N0547.2242E11801.521;341;1245;
2019-01-24 11:47:09;N0547.2242E11801.521;640;1619;
2019-01-24 11:47:09;N0547.2242E11801.521;650;1599;
2019-01-24 11:47:09;N0547.2242E11801.521;760;91;
2019-01-24 11:47:09;N0547.2242E11801.521;770;91;
2019-01-24 11:48:09;N0547.2243E11801.521;341;1260;
2019-01-24 11:48:09;N0547.2243E11801.521;640;1606;
2019-01-24 11:48:09;N0547.2243E11801.521;650;1609;
2019-01-24 11:48:09;N0547.2243E11801.521;760;91;
2019-01-24 11:48:09;N0547.2243E11801.521;770;91;
2019-01-24 11:49:09;N0547.2243E11801.521;341;1275;
2019-01-24 11:49:09;N0547.2243E11801.521;640;1609;
2019-01-24 11:49:09;N0547.2243E11801.521;650;1608;
2019-01-24 11:49:09;N0547.2243E11801.521;760;91;
2019-01-24 11:49:09;N0547.2243E11801.521;770;91;
2019-01-24 11:50:09;N0547.2242E11801.521;341;1290;
2019-01-24 11:50:09;N0547.2242E11801.521;640;1609;
2019-01-24 11:50:09;N0547.2242E11801.521;650;1607;
2019-01-24 11:50:09;N0547.2242E11801.521;760;91;
2019-01-24 11:50:09;N0547.2242E11801.521;770;91;
2019-01-24 11:51:09;N0547.2245E11801.521;341;1306;
