DateTime,GpsPos,EventNumber,Data
2019-01-24 21:23:31,N0547.2242E11801.522,760,100
2019-01-24 21:23:31,N0547.2242E11801.522,770,100
2019-01-24 21:24:31,N0547.2241E11801.522,341,3173
2019-01-24 21:24:31,N0547.2241E11801.522,640,1575
2019-01-24 21:24:31,N0547.2241E11801.522,650,1616
2019-01-24 21:24:31,N0547.2241E11801.522,760,100
2019-01-24 21:24:31,N0547.2241E11801.522,770,100
2019-01-24 21:25:31,N0547.2240E11801.522,341,3180
2019-01-24 21:25:31,N0547.2240E11801.522,640,1578
2019-01-24 21:25:31,N0547.2240E11801.522,650,1610
2019-01-24 21:25:31,N0547.2240E11801.522,760,100
2019-01-24 21:25:31,N0547.2240E11801.522,770,100
2019-01-24 21:26:31,N0547.2242E11801.522,341,3187
2019-01-24 21:26:31,N0547.2242E11801.522,640,1576
2019-01-24 21:26:31,N0547.2242E11801.522,650,1606
2019-01-24 21:26:31,N0547.2242E11801.522,760,100
2019-01-24 21:26:31,N0547.2242E11801.522,770,100
2019-01-24 21:27:31,N0547.2241E11801.522,341,3194
2019-01-24 21:27:31,N0547.2241E11801.522,640,1567
2019-01-24 21:27:31,N0547.2241E11801.522,650,1599
2019-01-24 21:27:31,N0547.2241E11801.522,760,100
2019-01-24 21:27:31,N0547.2241E11801.522,770,100
2019-01-24 21:28:31,N0547.2241E11801.522,341,3201
2019-01-24 21:28:31,N0547.2241E11801.522,640,1558
2019-01-24 21:28:31,N0547.2241E11801.522,650,1583
2019-01-24 21:28:31,N0547.2241E11801.522,760,100
2019-01-24 21:28:31,N0547.2241E11801.522,770,100
2019-01-24 21:29:31,N0547.2241E11801.522,341,3209
2019-01-24 21:29:31,N0547.2241E11801.522,640,1578
2019-01-24 21:29:31,N0547.2241E11801.522,650,1599
2019-01-24 21:29:31,N0547.2241E11801.522,760,100
2019-01-24 21:29:31,N0547.2241E11801.522,770,100
2019-01-24 21:30:31,N0547.2240E11801.522,341,3217
2019-01-24 21:30:31,N0547.2240E11801.522,640,1519
2019-01-24 21:30:31,N0547.2240E11801.522,650,1544
2019-01-24 21:30:31,N0547.2240E11801.522,760,100
2019-01-24 21:30:31,N0547.2240E11801.522,770,100
2019-01-24 21:31:31,N0547.2239E11801.522,341,3225
2019-01-24 21:31:31,N0547.2239E11801.522,640,1579
2019-01-24 21:31:31,N0547.2239E11801.522,650,1588
2019-01-24 21:31:31,N0547.2239E11801.522,760,100
2019-01-24 21:31:31,N0547.2239E11801.522,770,100
2019-01-24 21:32:31,N0547.2239E11801.522,341,3235
2019-01-24 21:32:31,N0547.2239E11801.522,640,1548
2019-01-24 21:32:31,N0547.2239E11801.522,650,1561
2019-01-24 21:32:31,N0547.2239E11801.522,760,100
2019-01-24 21:32:31,N0547.2239E11801.522,770,100
2019-01-24 21:33:31,N0547.2239E11801.522,341,3245
2019-01-24 21:33:31,N0547.2239E11801.522,640,1587
2019-01-24 21:33:31,N0547.2239E11801.522,650,1604
2019-01-24 21:33:31,N0547.2239E11801.522,760,100
2019-01-24 21:33:31,N0547.2239E11801.522,770,100
2019-01-24 21:34:31,N0547.2238E11801.522,341,3255
2019-01-24 21:34:31,N0547.2238E11801.522,640,1591
2019-01-24 21:34:31,N0547.2238E11801.522,650,1606
2019-01-24 21:34:31,N0547.2238E11801.522,760,100
2019-01-24 21:34:31,N0547.2238E11801.522,770,100
2019-01-24 21:35:32,N0547.2237E11801.522,341,3265
2019-01-24 21:35:32,N0547.2237E11801.522,640,1593
2019-01-24 21:35:32,N0547.2237E11801.522,650,1606
2019-01-24 21:35:32,N0547.2237E11801.522,760,100
2019-01-24 21:35:32,N0547.2237E11801.522,770,100
2019-01-24 21:36:32,N0547.2238E11801.522,341,3275
2019-01-24 21:36:32,N0547.2238E11801.522,640,1594
2019-01-24 21:36:32,N0547.2238E11801.522,650,1607
2019-01-24 21:36:32,N0547.2238E11801.522,760,100
2019-01-24 21:36:32,N0547.2238E11801.522,770,100
2019-01-24 21:37:32,N0547.2238E11801.522,341,3285
2019-01-24 21:37:32,N0547.2238E11801.522,640,1594
2019-01-24 21:37:32,N0547.2238E11801.522,650,1607
2019-01-24 21:37:32,N0547.2238E11801.522,760,100
2019-01-24 21:37:32,N0547.2238E11801.522,770,100
2019-01-24 21:38:32,N0547.2238E11801.522,341,3295
2019-01-24 21:38:32,N0547.2238E11801.522,640,1598
2019-01-24 21:38:32,N0547.2238E11801.522,650,1611
2019-01-24 21:38:32,N0547.2238E11801.522,760,100
2019-01-24 21:38:32,N0547.2238E11801.522,770,100
2019-01-24 21:39:32,N0547.2238E11801.522,341,3305
2019-01-24 21:39:32,N0547.2238E11801.522,640,1590
2019-01-24 21:39:32,N0547.2238E11801.522,650,1609
2019-01-24 21:39:32,N0547.2238E11801.522,760,100
2019-01-24 21:39:32,N0547.2238E11801.522,770,100
2019-01-24 21:40:32,N0547.2238E11801.522,341,3315
2019-01-24 21:40:32,N0547.2238E11801.522,640,1595
2019-01-24 21:40:32,N0547.2238E11801.522,650,1605
2019-01-24 21:40:32,N0547.2238E11801.522,760,100
2019-01-24 21:40:32,N0547.2238E11801.522,770,100
2019-01-24 21:41:32,N0547.2237E11801.522,341,3325
2019-01-24 21:41:32,N0547.2237E11801.522,640,1591
2019-01-24 21:41:32,N0547.2237E11801.522,650,1606
2019-01-24 21:41:32,N0547.2237E11801.522,760,100
2019-01-24 21:41:32,N0547.2237E11801.522,770,100
2019-01-24 21:42:32,N0547.2236E11801.521,341,3335
2019-01-24 21:42:32,N0547.2236E11801.521,640,1605
2019-01-24 21:42:32,N0547.2236E11801.521,650,1602
2019-01-24 21:42:32,N0547.2236E11801.521,760,100
2019-01-24 21:42:32,N0547.2236E11801.521,770,100
2019-01-24 21:43:32,N0547.2234E11801.521,341,3345
2019-01-24 21:43:32,N0547.2234E11801.521,640,1587
2019-01-24 21:43:32,N0547.2234E11801.521,650,1626
2019-01-24 21:43:32,N0547.2234E11801.521,760,100
2019-01-24 21:43:32,N0547.2234E11801.521,770,100
2019-01-24 21:44:32,N0547.2235E11801.521,341,3354
2019-01-24 21:44:32,N0547.2235E11801.521,640,1598
2019-01-24 21:44:32,N0547.2235E11801.521,650,1606
2019-01-24 21:44:32,N0547.2235E11801.521,760,100
2019-01-24 21:44:32,N0547.2235E11801.521,770,100
2019-01-24 21:45:32,N0547.2236E11801.521,341,3364
2019-01-24 21:45:32,N0547.2236E11801.521,640,1604
2019-01-24 21:45:32,N0547.2236E11801.521,650,1624
2019-01-24 21:45:32,N0547.2236E11801.521,760,100
2019-01-24 21:45:32,N0547.2236E11801.521,770,100
2019-01-24 21:46:32,N0547.2235E11801.521,341,3374
2019-01-24 21:46:32,N0547.2235E11801.521,640,1602
2019-01-24 21:46:32,N0547.2235E11801.521,650,1618
2019-01-24 21:46:32,N0547.2235E11801.521,760,100
2019-01-24 21:46:32,N0547.2235E11801.521,770,100
2019-01-24 21:47:32,N0547.2235E11801.521,341,3384
2019-01-24 21:47:32,N0547.2235E11801.521,640,1599
2019-01-24 21:47:32,N0547.2235E11801.521,650,1619
2019-01-24 21:47:32,N0547.2235E11801.521,760,100
2019-01-24 21:47:32,N0547.2235E11801.521,770,100
2019-01-24 21:48:32,N0547.2235E11801.521,341,3394
2019-01-24 21:48:32,N0547.2235E11801.521,640,1600
2019-01-24 21:48:32,N0547.2235E11801.521,650,1611
2019-01-24 21:48:32,N0547.2235E11801.521,760,100
2019-01-24 21:48:32,N0547.2235E11801.521,770,100
2019-01-24 21:49:32,N0547.2236E11801.521,341,3398
2019-01-24 21:49:32,N0547.2236E11801.521,640,1583
2019-01-24 21:49:32,N0547.2236E11801.521,650,1622
2019-01-24 21:49:32,N0547.2236E11801.521,760,100
2019-01-24 21:49:32,N0547.2236E11801.521,770,100
2019-01-24 21:50:32,N0547.2235E11801.522,341,3403
2019-01-24 21:50:32,N0547.2235E11801.522,640,1000
2019-01-24 21:50:32,N0547.2235E11801.522,650,1485
2019-01-24 21:50:32,N0547.2235E11801.522,760,100
2019-01-24 21:50:32,N0547.2235E11801.522,770,100
2019-01-24 21:51:32,N0547.2236E11801.522,341,3409
2019-01-24 21:51:32,N0547.2236E11801.522,640,975
2019-01-24 21:51:32,N0547.2236E11801.522,650,1255
2019-01-24 21:51:32,N0547.2236E11801.522,760,100
2019-01-24 21:51:32,N0547.2236E11801.522,770,100
2019-01-24 21:52:32,N0547.2235E11801.522,341,3418
2019-01-24 21:52:32,N0547.2235E11801.522,640,1301
