Team Toccata;;;;
PB-01998;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-03-10 13:50:41;N5408.2342E00330.775;770;100;
2019-03-10 13:51:42;N5408.0853E00330.670;341;1558;
2019-03-10 13:51:42;N5408.0853E00330.670;650;1034;
2019-03-10 13:51:42;N5408.0853E00330.670;770;100;
2019-03-10 13:52:42;N5407.9359E00330.568;341;1569;
2019-03-10 13:52:42;N5407.9359E00330.568;650;1036;
2019-03-10 13:52:42;N5407.9359E00330.568;770;100;
2019-03-10 13:53:42;N5407.7853E00330.471;341;1581;
2019-03-10 13:53:42;N5407.7853E00330.471;650;1037;
2019-03-10 13:53:42;N5407.7853E00330.471;770;100;
2019-03-10 13:54:42;N5407.6356E00330.370;341;1592;
2019-03-10 13:54:42;N5407.6356E00330.370;650;1038;
2019-03-10 13:54:42;N5407.6356E00330.370;770;100;
2019-03-10 13:55:42;N5407.4891E00330.257;341;1604;
2019-03-10 13:55:42;N5407.4891E00330.257;650;1040;
2019-03-10 13:55:42;N5407.4891E00330.257;770;100;
2019-03-10 13:56:42;N5407.3406E00330.166;341;1615;
2019-03-10 13:56:42;N5407.3406E00330.166;650;1042;
2019-03-10 13:56:42;N5407.3406E00330.166;770;100;
2019-03-10 13:57:42;N5407.1896E00330.137;341;1626;
2019-03-10 13:57:42;N5407.1896E00330.137;650;1044;
2019-03-10 13:57:42;N5407.1896E00330.137;770;100;
2019-03-10 13:58:42;N5407.0453E00330.173;341;1638;
2019-03-10 13:58:42;N5407.0453E00330.173;650;1043;
2019-03-10 13:58:42;N5407.0453E00330.173;770;100;
2019-03-10 13:59:42;N5406.9169E00330.268;341;1650;
2019-03-10 13:59:42;N5406.9169E00330.268;650;1048;
2019-03-10 13:59:42;N5406.9169E00330.268;770;100;
2019-03-10 14:00:42;N5406.8116E00330.412;341;1661;
2019-03-10 14:00:42;N5406.8116E00330.412;650;1050;
2019-03-10 14:00:42;N5406.8116E00330.412;770;100;
2019-03-10 14:01:42;N5406.7369E00330.596;341;1673;
2019-03-10 14:01:42;N5406.7369E00330.596;650;1052;
2019-03-10 14:01:42;N5406.7369E00330.596;770;100;
2019-03-10 14:02:42;N5406.6986E00330.802;341;1684;
2019-03-10 14:02:42;N5406.6986E00330.802;650;1054;
2019-03-10 14:02:42;N5406.6986E00330.802;770;100;
2019-03-10 14:03:42;N5406.6988E00331.012;341;1696;
2019-03-10 14:03:42;N5406.6988E00331.012;650;1058;
2019-03-10 14:03:42;N5406.6988E00331.012;770;100;
2019-03-10 14:04:42;N5406.7347E00331.205;341;1708;
2019-03-10 14:04:42;N5406.7347E00331.205;650;1060;
2019-03-10 14:04:42;N5406.7347E00331.205;770;100;
2019-03-10 14:05:42;N5406.7982E00331.372;341;1719;
2019-03-10 14:05:42;N5406.7982E00331.372;650;1045;
2019-03-10 14:05:42;N5406.7982E00331.372;770;100;
2019-03-10 14:06:42;N5406.8848E00331.500;341;1729;
2019-03-10 14:06:42;N5406.8848E00331.500;650;1030;
2019-03-10 14:06:42;N5406.8848E00331.500;770;100;
2019-03-10 14:07:42;N5406.9874E00331.602;341;1740;
2019-03-10 14:07:42;N5406.9874E00331.602;650;1023;
2019-03-10 14:07:42;N5406.9874E00331.602;770;100;
2019-03-10 14:08:42;N5407.1011E00331.685;341;1751;
2019-03-10 14:08:42;N5407.1011E00331.685;650;1007;
2019-03-10 14:08:42;N5407.1011E00331.685;770;100;
2019-03-10 14:09:42;N5407.2227E00331.752;341;1762;
2019-03-10 14:09:42;N5407.2227E00331.752;650;996;
2019-03-10 14:09:42;N5407.2227E00331.752;770;100;
2019-03-10 14:10:42;N5407.3453E00331.812;341;1773;
2019-03-10 14:10:42;N5407.3453E00331.812;650;985;
2019-03-10 14:10:42;N5407.3453E00331.812;770;100;
2019-03-10 14:11:42;N5407.4716E00331.877;341;1784;
2019-03-10 14:11:42;N5407.4716E00331.877;650;985;
2019-03-10 14:11:42;N5407.4716E00331.877;770;100;
2019-03-10 14:12:42;N5407.6005E00331.947;341;1794;
2019-03-10 14:12:42;N5407.6005E00331.947;650;982;
2019-03-10 14:12:42;N5407.6005E00331.947;770;100;
2019-03-10 14:13:42;N5407.7321E00332.017;341;1805;
2019-03-10 14:13:42;N5407.7321E00332.017;650;982;
2019-03-10 14:13:42;N5407.7321E00332.017;770;100;
2019-03-10 14:14:42;N5407.8663E00332.090;341;1816;
2019-03-10 14:14:42;N5407.8663E00332.090;650;974;
2019-03-10 14:14:42;N5407.8663E00332.090;770;100;
2019-03-10 14:15:42;N5408.0006E00332.162;341;1826;
2019-03-10 14:15:42;N5408.0006E00332.162;650;974;
2019-03-10 14:15:42;N5408.0006E00332.162;770;100;
2019-03-10 14:16:43;N5408.1357E00332.234;341;1837;
2019-03-10 14:16:43;N5408.1357E00332.234;650;973;
2019-03-10 14:16:43;N5408.1357E00332.234;770;100;
2019-03-10 14:17:43;N5408.2720E00332.308;341;1848;
2019-03-10 14:17:43;N5408.2720E00332.308;650;971;
2019-03-10 14:17:43;N5408.2720E00332.308;770;100;
2019-03-10 14:18:43;N5408.4070E00332.383;341;1858;
2019-03-10 14:18:43;N5408.4070E00332.383;650;964;
2019-03-10 14:18:43;N5408.4070E00332.383;770;100;
2019-03-10 14:19:43;N5408.5402E00332.456;341;1868;
2019-03-10 14:19:43;N5408.5402E00332.456;650;902;
2019-03-10 14:19:43;N5408.5402E00332.456;770;100;
2019-03-10 14:20:43;N5408.6763E00332.518;341;1878;
2019-03-10 14:20:43;N5408.6763E00332.518;650;966;
2019-03-10 14:20:43;N5408.6763E00332.518;770;100;
2019-03-10 14:21:43;N5408.8132E00332.575;341;1890;
2019-03-10 14:21:43;N5408.8132E00332.575;650;1036;
2019-03-10 14:21:43;N5408.8132E00332.575;770;100;
2019-03-10 14:22:16;-;290;0;
2019-03-10 14:22:29;N5408.9192E00332.619;165;0;
2019-03-10 14:22:29;-;400;0;
2019-03-10 14:22:45;N5408.9564E00332.634;160;0;
2019-03-10 14:22:45;-;380;0;
2019-03-10 14:23:00;-;190;0;
2019-03-10 14:23:00;N5408.9913E00332.649;340;1900;
2019-03-10 14:34:58;-;260;0;
2019-03-10 14:34:58;-;370;0;
2019-03-10 14:35:07;N5410.6880E00333.307;150;0;
2019-03-10 14:36:49;-;430;1;
2019-03-10 14:36:49;-;430;2;
2019-03-10 14:36:58;-;390;0;
2019-03-10 14:37:08;N5410.9573E00333.452;155;0;
2019-03-10 14:37:43;N5411.0321E00333.494;640;325;
2019-03-10 14:37:43;N5411.0321E00333.494;650;1101;
2019-03-10 14:37:43;N5411.0321E00333.494;760;100;
2019-03-10 14:37:43;N5411.0321E00333.494;770;100;
2019-03-10 14:37:55;N5411.0582E00333.507;270;0;
2019-03-10 14:37:55;N5411.0582E00333.507;806;0;
2019-03-10 14:38:43;N5411.1624E00333.563;341;7;
2019-03-10 14:38:43;N5411.1624E00333.563;640;831;
2019-03-10 14:38:43;N5411.1624E00333.563;650;1010;
2019-03-10 14:38:43;N5411.1624E00333.563;760;100;
2019-03-10 14:38:43;N5411.1624E00333.563;770;100;
2019-03-10 14:39:43;N5411.2985E00333.633;341;18;
2019-03-10 14:39:43;N5411.2985E00333.633;650;926;
2019-03-10 14:39:43;N5411.2985E00333.633;770;100;
2019-03-10 14:40:43;N5411.4314E00333.707;341;27;
2019-03-10 14:40:43;N5411.4314E00333.707;650;966;
2019-03-10 14:40:43;N5411.4314E00333.707;770;100;
2019-03-10 14:41:43;N5411.5649E00333.784;341;36;
2019-03-10 14:41:43;N5411.5649E00333.784;650;993;
2019-03-10 14:41:43;N5411.5649E00333.784;770;100;
2019-03-10 14:42:44;N5411.7003E00333.854;341;47;
2019-03-10 14:42:44;N5411.7003E00333.854;650;1020;
2019-03-10 14:42:44;N5411.7003E00333.854;770;100;
2019-03-10 14:43:44;N5411.8342E00333.927;341;56;
2019-03-10 14:43:44;N5411.8342E00333.927;650;834;
2019-03-10 14:43:44;N5411.8342E00333.927;770;100;
2019-03-10 14:44:44;N5411.9684E00334.000;341;64;
2019-03-10 14:44:44;N5411.9684E00334.000;650;1104;
2019-03-10 14:44:44;N5411.9684E00334.000;770;100;
2019-03-10 14:45:44;N5412.1015E00334.071;341;76;
2019-03-10 14:45:44;N5412.1015E00334.071;650;1119;
2019-03-10 14:45:44;N5412.1015E00334.071;770;100;
2019-03-10 14:46:44;N5412.2370E00334.139;341;89;
2019-03-10 14:46:44;N5412.2370E00334.139;650;1135;
2019-03-10 14:46:44;N5412.2370E00334.139;770;100;
2019-03-10 14:47:44;N5412.3702E00334.210;341;101;
2019-03-10 14:47:44;N5412.3702E00334.210;650;1152;
2019-03-10 14:47:44;N5412.3702E00334.210;770;100;
2019-03-10 14:48:44;N5412.5006E00334.284;341;114;
2019-03-10 14:48:44;N5412.5006E00334.284;650;1156;
2019-03-10 14:48:44;N5412.5006E00334.284;770;100;
2019-03-10 14:49:44;N5412.6334E00334.351;341;127;
2019-03-10 14:49:44;N5412.6334E00334.351;650;1165;
2019-03-10 14:49:44;N5412.6334E00334.351;770;100;
2019-03-10 14:50:44;N5412.7666E00334.418;341;140;
2019-03-10 14:50:44;N5412.7666E00334.418;650;1180;
2019-03-10 14:50:44;N5412.7666E00334.418;770;100;
2019-03-10 14:51:44;N5412.8998E00334.485;341;153;
2019-03-10 14:51:44;N5412.8998E00334.485;650;1193;
2019-03-10 14:51:44;N5412.8998E00334.485;770;100;
2019-03-10 14:52:44;N5413.0319E00334.558;341;167;
2019-03-10 14:52:44;N5413.0319E00334.558;650;1185;
2019-03-10 14:52:44;N5413.0319E00334.558;770;100;
2019-03-10 14:53:44;N5413.1666E00334.623;341;180;
2019-03-10 14:53:44;N5413.1666E00334.623;650;1185;
2019-03-10 14:53:44;N5413.1666E00334.623;770;100;
2019-03-10 14:54:44;N5413.3023E00334.691;341;194;
2019-03-10 14:54:44;N5413.3023E00334.691;650;1200;
2019-03-10 14:54:44;N5413.3023E00334.691;770;100;
2019-03-10 14:54:52;-;290;0;
2019-03-10 14:55:05;N5413.3499E00334.714;165;0;
2019-03-10 14:55:05;-;400;0;
2019-03-10 14:55:26;N5413.3972E00334.740;160;0;
2019-03-10 14:55:26;-;380;0;
2019-03-10 14:55:28;-;190;0;
2019-03-10 14:55:28;N5413.4018E00334.742;340;200;
2019-03-10 15:00:44;-;260;0;
2019-03-10 15:00:44;-;370;0;
2019-03-10 15:00:48;N5414.1307E00335.106;150;0;
2019-03-10 15:02:29;-;430;1;
2019-03-10 15:02:29;-;430;2;
2019-03-10 15:02:40;-;390;0;
2019-03-10 15:02:44;N5414.4002E00335.240;640;887;
