Data,DateTime,EventNumber,GpsPos,Team
0,2019-08-23 14:06:07,165,N1813.48W09427.90,Team Tosca
0,2019-08-23 14:06:07,400,-,Team Tosca
0,2019-08-23 14:06:24,160,N1813.48W09427.90,Team Tosca
0,2019-08-23 14:06:24,380,-,Team Tosca
0,2019-08-23 14:07:02,190,-,Team Tosca
245,2019-08-23 14:07:02,330,N1813.48W09427.90,Team Tosca
0,2019-08-23 14:07:23,370,-,Team Tosca
0,2019-08-23 14:07:29,150,N1813.48W09427.90,Team Tosca
0,2019-08-23 14:09:34,160,N1813.48W09427.90,Team Tosca
0,2019-08-23 14:09:34,380,-,Team Tosca
0,2019-08-23 14:09:42,190,-,Team Tosca
0,2019-08-23 14:12:51,210,-,Team Tosca
0,2019-08-23 14:12:51,370,-,Team Tosca
0,2019-08-23 14:12:54,150,N1813.48W09427.89,Team Tosca
1,2019-08-23 14:14:36,430,-,Team Tosca
2,2019-08-23 14:14:36,430,-,Team Tosca
0,2019-08-23 14:14:41,390,-,Team Tosca
0,2019-08-23 14:14:54,155,N1813.48W09427.89,Team Tosca
2396,2019-08-23 14:15:25,640,N1813.48W09427.89,Team Tosca
2239,2019-08-23 14:15:25,650,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:15:25,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:15:25,770,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:16:05,220,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:16:05,806,N1813.48W09427.89,Team Tosca
2,2019-08-23 14:16:25,331,N1813.48W09427.89,Team Tosca
2238,2019-08-23 14:16:25,640,N1813.48W09427.89,Team Tosca
2093,2019-08-23 14:16:25,650,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:16:25,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:16:25,770,N1813.48W09427.89,Team Tosca
12,2019-08-23 14:17:25,331,N1813.48W09427.89,Team Tosca
1893,2019-08-23 14:17:25,640,N1813.48W09427.89,Team Tosca
1794,2019-08-23 14:17:25,650,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:17:25,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:17:25,770,N1813.48W09427.89,Team Tosca
24,2019-08-23 14:18:25,331,N1813.48W09427.89,Team Tosca
1848,2019-08-23 14:18:25,640,N1813.48W09427.89,Team Tosca
1748,2019-08-23 14:18:25,650,N1813.48W09427.89,Team Tosca
98,2019-08-23 14:18:25,760,N1813.48W09427.89,Team Tosca
99,2019-08-23 14:18:25,770,N1813.48W09427.89,Team Tosca
35,2019-08-23 14:19:26,331,N1813.48W09427.89,Team Tosca
1822,2019-08-23 14:19:26,640,N1813.48W09427.89,Team Tosca
1712,2019-08-23 14:19:26,650,N1813.48W09427.89,Team Tosca
96,2019-08-23 14:19:26,760,N1813.48W09427.89,Team Tosca
98,2019-08-23 14:19:26,770,N1813.48W09427.89,Team Tosca
47,2019-08-23 14:20:26,331,N1813.48W09427.89,Team Tosca
1792,2019-08-23 14:20:26,640,N1813.48W09427.89,Team Tosca
1714,2019-08-23 14:20:26,650,N1813.48W09427.89,Team Tosca
95,2019-08-23 14:20:26,760,N1813.48W09427.89,Team Tosca
97,2019-08-23 14:20:26,770,N1813.48W09427.89,Team Tosca
58,2019-08-23 14:21:26,331,N1813.48W09427.89,Team Tosca
1769,2019-08-23 14:21:26,640,N1813.48W09427.89,Team Tosca
1707,2019-08-23 14:21:26,650,N1813.48W09427.89,Team Tosca
93,2019-08-23 14:21:26,760,N1813.48W09427.89,Team Tosca
96,2019-08-23 14:21:26,770,N1813.48W09427.89,Team Tosca
69,2019-08-23 14:22:26,331,N1813.48W09427.89,Team Tosca
1740,2019-08-23 14:22:26,640,N1813.48W09427.89,Team Tosca
1694,2019-08-23 14:22:26,650,N1813.48W09427.89,Team Tosca
92,2019-08-23 14:22:26,760,N1813.48W09427.89,Team Tosca
95,2019-08-23 14:22:26,770,N1813.48W09427.89,Team Tosca
81,2019-08-23 14:23:26,331,N1813.48W09427.89,Team Tosca
1652,2019-08-23 14:23:26,640,N1813.48W09427.89,Team Tosca
1629,2019-08-23 14:23:26,650,N1813.48W09427.89,Team Tosca
91,2019-08-23 14:23:26,760,N1813.48W09427.89,Team Tosca
95,2019-08-23 14:23:26,770,N1813.48W09427.89,Team Tosca
92,2019-08-23 14:24:26,331,N1813.48W09427.89,Team Tosca
1663,2019-08-23 14:24:26,640,N1813.48W09427.89,Team Tosca
1631,2019-08-23 14:24:26,650,N1813.48W09427.89,Team Tosca
91,2019-08-23 14:24:26,760,N1813.48W09427.89,Team Tosca
95,2019-08-23 14:24:26,770,N1813.48W09427.89,Team Tosca
103,2019-08-23 14:25:26,331,N1813.48W09427.89,Team Tosca
1671,2019-08-23 14:25:26,640,N1813.48W09427.89,Team Tosca
1654,2019-08-23 14:25:26,650,N1813.48W09427.89,Team Tosca
90,2019-08-23 14:25:26,760,N1813.48W09427.89,Team Tosca
94,2019-08-23 14:25:26,770,N1813.48W09427.89,Team Tosca
114,2019-08-23 14:26:26,331,N1813.48W09427.89,Team Tosca
1587,2019-08-23 14:26:26,640,N1813.48W09427.89,Team Tosca
1589,2019-08-23 14:26:26,650,N1813.48W09427.89,Team Tosca
90,2019-08-23 14:26:26,760,N1813.48W09427.89,Team Tosca
95,2019-08-23 14:26:26,770,N1813.48W09427.89,Team Tosca
125,2019-08-23 14:27:26,331,N1813.48W09427.89,Team Tosca
1339,2019-08-23 14:27:26,640,N1813.48W09427.89,Team Tosca
1380,2019-08-23 14:27:26,650,N1813.48W09427.89,Team Tosca
93,2019-08-23 14:27:26,760,N1813.48W09427.89,Team Tosca
97,2019-08-23 14:27:26,770,N1813.48W09427.89,Team Tosca
135,2019-08-23 14:28:26,331,N1813.48W09427.89,Team Tosca
1270,2019-08-23 14:28:26,640,N1813.48W09427.89,Team Tosca
1301,2019-08-23 14:28:26,650,N1813.48W09427.89,Team Tosca
97,2019-08-23 14:28:26,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:28:26,770,N1813.48W09427.89,Team Tosca
145,2019-08-23 14:29:26,331,N1813.48W09427.89,Team Tosca
1152,2019-08-23 14:29:26,640,N1813.48W09427.89,Team Tosca
1191,2019-08-23 14:29:26,650,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:29:26,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:29:26,770,N1813.48W09427.89,Team Tosca
151,2019-08-23 14:30:26,331,N1813.48W09427.89,Team Tosca
1528,2019-08-23 14:30:26,640,N1813.48W09427.89,Team Tosca
1521,2019-08-23 14:30:26,650,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:30:26,760,N1813.48W09427.89,Team Tosca
100,2019-08-23 14:30:26,770,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:30:39,450,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:30:39,250,-,Team Tosca
0,2019-08-23 14:30:52,165,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:30:52,400,-,Team Tosca
0,2019-08-23 14:31:21,160,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:31:21,380,-,Team Tosca
0,2019-08-23 14:31:24,190,-,Team Tosca
152,2019-08-23 14:31:24,330,N1813.48W09427.89,Team Tosca
0,2019-08-23 14:31:28,370,-,Team Tosca
0,2019-08-23 14:31:31,150,N1813.48W09427.89,Team Tosca
1,2019-08-23 14:36:10,300,-,Team Tosca
0,2019-08-23 15:29:20,811,N1813.48W09427.89,Team Tosca
2,2019-08-23 15:29:20,300,-,Team Tosca
0,2019-08-23 16:22:15,813,N1813.47W09427.90,Team Tosca
0,2019-08-23 16:27:16,160,N1813.47W09427.90,Team Tosca
0,2019-08-23 16:27:16,380,-,Team Tosca
0,2019-08-23 16:27:46,190,-,Team Tosca
0,2019-08-23 19:57:14,210,-,Team Tosca
0,2019-08-23 19:57:14,370,-,Team Tosca
0,2019-08-23 19:57:16,150,N1813.46W09427.91,Team Tosca
1,2019-08-23 19:58:57,430,-,Team Tosca
2,2019-08-23 19:58:59,430,-,Team Tosca
0,2019-08-23 19:59:05,390,-,Team Tosca
0,2019-08-23 19:59:15,155,N1813.46W09427.91,Team Tosca
